b1,404, 672, 360, 588,4000,80, 199, 62,138, 255, 123
b2,396, 664, 676, 888,3800,85, 190, 60,150, 255, 120
m,420, 688, 520, 732,1500,78, 202, 77,138, 255, 169
b3,900, 1168, 228, 484,4500,89, 208, 68,140, 255, 115
b4,892, 1160, 788, 1044,4000,79, 196, 65,146, 255, 107
b5,1328, 1576, 448, 852,4500,80, 191, 77,137, 255, 150
band2,684, 936, 420, 860,6000,84, 205, 54,130, 255, 112
band1,1112, 1336, 400, 900,6500,84, 196, 60,143, 255, 129
